a,b,family,support_a,support_b,TV,top_a,top_a_pct,top_b,top_b_pct,different_top
shey,chey,LF0020,14,9,0.17460317460317454,r,64.28571428571429,r,66.66666666666667,False
chey,qoky,LF0003,9,10,0.16666666666666669,y,66.66666666666667,y,50.0,False
chey,shedy,LF0013,21,20,0.16666666666666669,y,66.66666666666667,y,50.0,False
r,sar,LF0011,30,10,0.16666666666666666,i·n,96.66666666666667,i·n,80.0,False
chey,l,LF0003,9,16,0.16666666666666666,y,66.66666666666667,y,50.0,False
shedy,chedy,LF0018,21,16,0.16369047619047616,y,52.38095238095238,y,56.25,False
dain,ol,LF0003,13,42,0.16300366300366298,y,53.84615384615385,y,45.23809523809524,False
dar,qol,LF0003,12,25,0.16,DY,50.0,DY,48.0,False
or,ol,LF0010,10,23,0.15652173913043477,DY,60.0,DY,69.56521739130434,False
ol,qol,LF0026,18,8,0.1527777777777778,y,72.22222222222223,y,62.5,False
chey,ol,LF0074,8,11,0.1477272727272727,y,75.0,y,72.72727272727273,False
ol,qoky,LF0003,42,10,0.1476190476190476,y,45.23809523809524,y,50.0,False
chey,chedy,LF0005,22,21,0.14285714285714285,e·y,63.63636363636363,e·y,61.904761904761905,False
ar,sar,LF0011,33,10,0.1393939393939394,i·n,93.93939393939394,i·n,80.0,False
or,chor,LF0007,15,15,0.13333333333333333,l,46.666666666666664,l,53.333333333333336,False
dain,chey,LF0003,13,9,0.12820512820512822,y,53.84615384615385,y,66.66666666666667,False
shey,chey,LF0023,16,14,0.125,i·n,87.5,i·n,92.85714285714286,False
shey,chedy,LF0023,16,11,0.125,i·n,87.5,i·n,100.0,False
dar,sar,LF0011,9,10,0.12222222222222223,i·n,77.77777777777777,i·n,80.0,False
ol,l,LF0003,42,16,0.11904761904761905,y,45.23809523809524,y,50.0,False
ar,or,LF0030,17,18,0.1176470588235294,n,52.94117647058823,n,55.55555555555556,False
or,dar,LF0003,15,12,0.11666666666666667,DY,40.0,DY,50.0,False
dain,qoky,LF0003,13,10,0.11538461538461538,y,53.84615384615385,y,50.0,False
dain,l,LF0003,13,16,0.11538461538461536,y,53.84615384615385,y,50.0,False
chey,chy,LF0009,10,9,0.11111111111111115,n,90.0,n,88.88888888888889,False
chey,chy,LF0006,10,9,0.11111111111111115,i·n,90.0,i·n,88.88888888888889,False
s,sar,LF0012,53,9,0.11111111111111113,n,100.0,n,88.88888888888889,False
chor,chy,LF0006,8,9,0.11111111111111113,i·n,100.0,i·n,88.88888888888889,False
chor,chy,LF0009,8,9,0.11111111111111113,n,100.0,n,88.88888888888889,False
chol,chy,LF0009,28,9,0.11111111111111113,n,100.0,n,88.88888888888889,False
chol,chy,LF0006,28,9,0.11111111111111113,i·n,100.0,i·n,88.88888888888889,False
chy,ol,LF0009,9,9,0.11111111111111113,n,88.88888888888889,n,100.0,False
chy,ol,LF0006,9,9,0.11111111111111113,i·n,88.88888888888889,i·n,100.0,False
chy,qoky,LF0009,9,8,0.11111111111111113,n,88.88888888888889,n,100.0,False
chy,qoky,LF0006,9,8,0.11111111111111113,i·n,88.88888888888889,i·n,100.0,False
ol,sar,LF0012,24,9,0.11111111111111113,n,100.0,n,88.88888888888889,False
o,sar,LF0012,12,9,0.11111111111111113,n,100.0,n,88.88888888888889,False
dar,sar,LF0012,9,9,0.11111111111111108,n,77.77777777777777,n,88.88888888888889,False
chor,chey,LF0006,8,10,0.09999999999999999,i·n,100.0,i·n,90.0,False
chor,chey,LF0009,8,10,0.09999999999999999,n,100.0,n,90.0,False
chol,chey,LF0006,28,10,0.09999999999999999,i·n,100.0,i·n,90.0,False
chol,chey,LF0009,28,10,0.09999999999999999,n,100.0,n,90.0,False
chey,ol,LF0006,10,9,0.09999999999999999,i·n,90.0,i·n,100.0,False
chey,ol,LF0009,10,9,0.09999999999999999,n,90.0,n,100.0,False
