a,b,count_a,count_b,succ_cos,pred_cos,score
chos,key,42,33,0.40704524543128606,0.3969899370273886,0.4040286529101168
shy,qol,94,147,0.4618465676692811,0.26885715970318064,0.40394974527945093
cthy,ol,100,588,0.43571273054068854,0.32975587455860134,0.40392567374606236
shy,key,94,33,0.421004403658342,0.36400950614063315,0.40390593440302935
dol,sar,97,77,0.44622782292128116,0.3049678475958541,0.403849830323653
kchy,dal,36,190,0.4641317451770665,0.2629124270976296,0.40376594975323543
d,cthey,53,47,0.45890770830518557,0.2750477806158635,0.40374972999838893
chy,o,197,114,0.4054516501138491,0.39927489599413535,0.40359862387793494
dair,qo,93,51,0.44601435422051133,0.30445024923051045,0.40354512272351106
dol,sal,97,48,0.4326941341411778,0.335214518616311,0.4034502494837177
shol,tar,176,43,0.43313377743551856,0.3340727292534261,0.4034154629808908
chal,qo,59,51,0.44728341131766547,0.30081581575157246,0.40334313264783755
