a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
am,tar,115,43,38,35,0.2948839123097943,9,7
am,dy,115,204,38,144,0.29488009886810373,14,9
shar,cho,34,77,24,59,0.2946278254943948,7,5
chdy,ol,108,588,113,609,0.2944359758020743,70,50
ckhy,al,38,311,27,245,0.29424494316824984,17,14
kol,shcthy,35,30,33,33,0.2941986746023269,7,7
chckhy,key,141,33,153,36,0.29398273784043616,14,13
am,sal,115,48,38,44,0.2938029801736205,8,5
shor,oty,91,114,85,79,0.2937883554701507,17,15
cthey,shcthy,47,30,50,33,0.2936892392857409,10,9
sho,shey,118,344,124,374,0.2931776114122521,53,38
kchy,dy,36,204,36,144,0.29316816331431955,15,13
or,air,390,95,406,70,0.29303955415015004,40,32
ar,chckhy,449,141,388,153,0.2929060617053326,68,49
y,ches,210,44,176,43,0.29289774990303974,21,15
char,shcthy,79,30,75,33,0.29257841237888377,11,9
cthy,ody,100,38,67,24,0.2924776902870617,6,6
tol,tar,42,43,48,35,0.29247665642984283,8,7
r,qo,196,51,176,59,0.2920936211286153,24,21
cthy,cheo,100,75,67,62,0.29192299603317406,16,11
chal,dol,59,97,57,89,0.2918592762723751,10,7
cthy,shor,100,91,67,85,0.2918492581529816,16,11
char,qol,79,147,75,132,0.2918099602015164,18,13
shar,oky,34,103,24,90,0.2916666666666667,10,9
chckhy,shcthy,141,30,153,33,0.2916026765952627,15,10
ches,key,44,33,43,36,0.29104973811640134,7,7
cthy,al,100,311,67,245,0.29096352239818346,31,22
shol,s,176,328,181,291,0.2909014091306726,47,29
s,oly,328,65,291,33,0.2908996850569405,15,14
kol,l,35,156,33,137,0.29089954315966154,17,17
chdy,dol,108,97,113,89,0.2908201116983066,21,16
o,key,114,33,83,36,0.2901905000440047,8,7
y,kal,210,30,176,27,0.2901750554631868,18,17
al,lor,311,38,245,39,0.29012090890665,22,13
ar,oky,449,103,388,90,0.29009169455232275,44,32
qo,sol,51,63,59,69,0.28992200262495804,14,12
chy,l,197,156,157,137,0.28990748861008253,45,37
char,tol,79,42,75,48,0.2895008998148641,12,10
r,ain,196,149,176,107,0.2893082065601123,45,26
shar,cthol,34,55,24,43,0.2892709559399513,6,5
sho,kol,118,35,124,33,0.2890977924120721,13,11
ches,oty,44,114,43,79,0.2889115510049513,14,12
chey,cthol,510,55,580,43,0.28877169953817977,33,20
kol,sor,35,43,33,45,0.2887328869480154,8,8
shar,am,34,115,24,38,0.2886751345948129,8,7
she,dar,41,287,39,242,0.2886150127292031,17,14
shol,kal,176,30,181,27,0.28842997520061525,14,13
dal,lor,190,38,139,39,0.2880411263460363,15,8
kchy,shy,36,94,36,77,0.2877543184223317,10,9
ar,chey,449,510,388,580,0.28758130430857637,144,80
cthy,chcthy,100,84,67,94,0.2875276607365329,17,15
oly,ches,65,44,33,43,0.28729410028078933,7,7
y,she,210,41,176,39,0.2870973622728153,11,11
chey,sal,510,48,580,44,0.28696493061026757,30,28
kal,shy,30,94,27,77,0.2866812718568302,11,11
shol,ches,176,44,181,43,0.2861645099882164,18,14
kal,l,30,156,27,137,0.28599896718809453,17,17
kol,qol,35,147,33,132,0.2859803252304129,12,12
kchy,oty,36,114,36,79,0.2859431317947984,11,10
shar,chol,34,367,24,362,0.28583356277446326,18,14
s,qo,328,51,291,59,0.285618646334703,19,16
cthey,chcthy,47,84,50,94,0.28523956097087433,16,16
oly,sar,65,77,33,48,0.2850805202219777,8,8
chey,shor,510,91,580,85,0.28475279831789624,39,31
chdy,tol,108,42,113,48,0.2846939701862559,18,17
oky,sol,103,63,90,69,0.28458567001085017,21,18
shey,oky,344,103,374,90,0.28438923808943356,38,25
ches,sol,44,63,43,69,0.2842017091142201,10,8
cho,oty,77,114,59,79,0.28409298960124435,14,12
chol,oty,367,114,362,79,0.28356805772864613,43,31
chor,ches,215,44,199,43,0.282724466585464,23,17
cho,qo,77,51,59,59,0.28266610133502934,15,15
cho,al,77,311,59,245,0.2823926418836876,31,26
chcthy,key,84,33,94,36,0.28214404682341737,14,13
cheo,chl,75,33,62,28,0.28214404682341737,6,6
sho,cthol,118,55,124,43,0.2818971240663829,16,9
cthey,key,47,33,50,36,0.28181074009533896,10,10
chor,she,215,41,199,39,0.2817360711244834,13,13
char,chy,79,197,75,157,0.2817263053347975,26,23
oky,l,103,156,90,137,0.2814947649497878,29,27
or,chol,390,367,406,362,0.2814619839431843,110,53
chy,dol,197,97,157,89,0.2810432188686144,26,18
al,chcthy,311,84,245,94,0.28074576010722196,40,37
chey,o,510,114,580,83,0.2806966099429815,54,32
chdy,cheo,108,75,113,62,0.2805431400717108,16,11
oly,l,65,156,33,137,0.2804824506744268,9,8
kchy,dar,36,287,36,242,0.28016590734026287,17,13
chdy,shor,108,91,113,85,0.280087541036999,24,23
sor,chckhy,43,141,45,153,0.28004260897714156,19,15
ckhy,cthor,38,45,27,42,0.27999502235495904,7,6
cho,kar,77,58,59,47,0.2799736837105387,12,10
chdy,kol,108,35,113,33,0.2796881803463962,13,13
r,oly,196,65,176,33,0.2795706455600461,11,10
oky,cheo,103,75,90,62,0.2792941069565142,14,11
dar,cthey,287,47,242,50,0.27897377769728676,26,23
cthy,dar,100,287,67,242,0.27879902429814457,29,22
y,chl,210,33,176,28,0.2786391062876764,12,12
dol,air,97,95,89,70,0.2785187267060882,13,10
oly,o,65,114,33,83,0.2784891176820017,8,7
sho,ain,118,149,124,107,0.27821847765373225,21,16
oky,am,103,115,90,38,0.2779834629431532,11,10
shey,ain,344,149,374,107,0.2778789082673141,55,38
y,chos,210,42,176,43,0.2778183707602797,18,11
shol,ody,176,38,181,24,0.2774751902477184,12,10
ckhey,dor,32,63,32,68,0.2772413120334688,9,6
shar,dol,34,97,24,89,0.2770859970229332,7,6
ckhy,kar,38,58,27,47,0.2768465114999739,7,7
dar,shy,287,94,242,77,0.2767917273440921,28,25
al,kar,311,58,245,47,0.276339711883103,26,22
kal,qol,30,147,27,132,0.2759719252759586,11,11
kal,shor,30,91,27,85,0.27597192527595854,10,9
cthey,oty,47,114,50,79,0.2755416963608784,17,16
al,sar,311,77,245,48,0.2754801772600728,22,17
char,dor,79,63,75,68,0.2753169942006792,15,11
char,chl,79,33,75,28,0.2751601120226588,8,8
cthol,sor,55,43,43,45,0.27500954910846337,8,8
she,shcthy,41,30,39,33,0.27472112789737807,8,6
cthol,shcthy,55,30,43,33,0.274721127897378,7,5
oty,o,114,114,79,83,0.2745924700485682,12,9
cthol,ol,55,588,43,609,0.2743810829916142,32,17
ckhy,key,38,33,27,36,0.27420424855354086,7,7
ol,kal,588,30,609,27,0.274110030914732,21,19
am,lor,115,38,38,39,0.27372166045202123,8,6
kal,sal,30,48,27,44,0.27371875400769585,7,7
chol,shey,367,344,362,374,0.2736999558338399,103,64
